ID,Name,Gender,Age,City,State,Zip
0,Ridwan Khan,1,37,Iowa City,IA,52240
1,Mit Patel,1,30,Iowa City,IA,52240
2,Harsh Patel,1,35,Iowa City,IA,52240
3,Walter Duran,0,63,Darien,CT,06820
4,Kaseem Dunlap,0,45,New Brunswick,NJ,08901
5,Charles Neal,1,55,Brooklyn,NY,11249
6,Prabhjot Singh,0,21,Princeton Junction,NJ,08550
7,Wallace Moore,0,21,Nashville,TN,37201
8,Akanksha Pathak,1,33,Chesapeake,VA,23320
9,Rinah Richards,1,49,Miami Beach,FL,33109
10,Amos Bray,0,46,Houston,TX,77084
11,Jane Burke,1,61,Brooklyn,NY,11249
12,Hadley Mckenzie,1,56,Great Falls,VA,22066
13,Howard Snider,0,25,Weston,MA,02493
14,Brent Trevino,1,59,New York,NY,10029
15,Calista Cooley,0,31,Miami,FL,33158
16,Hu Gallegos,0,46,San Jose,CA,95120
17,Breanna Gould,1,23,Trenton,NJ,08608
18,Tyler Simpson,1,49,Charlotte,NC,28105
19,Yael Vinson,1,48,Brooklyn,NY,11249
20,Chaney Graves,1,21,Richmond,VA,23218
21,Slade Bolton,1,35,Washington,DC,20001
22,Gail Alexander,1,31,Katy,TX,77449
23,Amery Hodges,0,65,Oklahoma City,OK,73102
24,Nasim Lindsay,0,33,Washington,DC,20001
25,Leandra Valenzuela,0,28,Boston,MA,01841
26,Iris Herrera,0,34,Brooklyn,NY,11249
27,Ora Oneil,1,39,Atlantic City,NJ,08401
28,Pearl Powell,1,27,Dover,DE,19901
29,Samantha Thompson,0,21,Katy,TX,77449
30,Elvis Gates,1,23,Chesapeake,VA,23320
31,Anastasia Ortiz,1,42,Dallas,TX,75001
32,Leslie Trujillo,1,62,Chicago,IL,60629
33,Cooper Blevins,1,31,Cross River,NY,10518
34,Grant Haley,0,22,Dallas,TX,75001
35,Brandon Kinney,0,53,Chicago,IL,60629
36,Asher Gentry,1,58,Kenilworth,IL,60043
37,Brett Powers,0,22,Darien,CT,06820
38,Prescott Mckee,1,21,Austin,TX,78730
39,Eden Delaney,1,47,Cross River,NY,10518
40,Harlan Pacheco,0,26,Highland,MD,20777
41,Dana Carr,1,53,Dover,MA,02030
42,Odette Ortega,1,47,Chesapeake,VA,23320
43,Carla Stevens,0,34,Trenton,NJ,08608
44,Claudia Cantu,0,45,Boston,MA,01841
45,Valentine Graham,0,61,Iowa City,IA,52240
46,Moses Clarke,0,43,Dallas,TX,75001
47,Stephen Stevenson,0,30,Princeton Junction,NJ,08550
48,Zephr Barton,1,32,Oklahoma City,OK,73102
49,Macon Underwood,0,24,Salt Lake City,UT,84101
50,Gage Singleton,0,37,Dallas,TX,75001
51,Jonah Mccarthy,0,23,Frankfort,KY,40601
52,Isabelle Daniels,0,23,Annapolis,MD,21401
53,Kennan Bolton,1,32,Dover,DE,19901
54,Kimberley Wood,0,49,Frankfort,KY,40601
55,Ryan Reynolds,1,21,New York,NY,10029
56,Harlan Taylor,0,22,San Jose,CA,95120
57,Judah Howe,0,23,Brooklyn,NY,11249
58,Yolanda Wong,0,31,Great Falls,VA,22066
59,Frances Booker,0,24,Chicago,IL,60629
60,Fuller Burnett,1,31,Springfield,PA,19064
61,Thaddeus Alvarez,0,48,Norwalk,CA,90650
62,Xander Moses,1,21,Trenton,NJ,08608
63,Maisie Gray,1,24,Atlanta,GA,30334
